epoch,step,train/loss,val/error_T,val/loss,val/loss_best
0,0,0.0,,,
1,1,10226.0947265625,,,
2,2,10214.19921875,,,
3,3,10202.2861328125,,,
4,4,10190.3408203125,,,
5,5,10178.3515625,,,
6,6,10166.3017578125,,,
7,7,10154.1787109375,,,
8,8,10141.96484375,,,
9,9,10129.65234375,,,
10,10,10117.2275390625,,,
11,11,10104.6767578125,,,
12,12,10091.9931640625,,,
13,13,10079.1669921875,,,
14,14,10066.19140625,,,
15,15,10053.056640625,,,
16,16,10039.7587890625,,,
17,17,10026.291015625,,,
18,18,10012.650390625,,,
19,19,9998.8310546875,,,
20,20,9984.8310546875,,,
21,21,9970.6474609375,,,
22,22,9956.279296875,,,
23,23,9941.7216796875,,,
24,24,9926.9794921875,,,
25,25,9912.05078125,,,
26,26,9896.935546875,,,
27,27,9881.6376953125,,,
28,28,9866.1572265625,,,
29,29,9850.4990234375,,,
30,30,9834.6689453125,,,
31,31,9818.6708984375,,,
32,32,9802.5107421875,,,
33,33,9786.197265625,,,
34,34,9769.7353515625,,,
35,35,9753.13671875,,,
36,36,9736.40625,,,
37,37,9719.556640625,,,
38,38,9702.5986328125,,,
39,39,9685.5419921875,,,
40,40,9668.3984375,,,
41,41,9651.1806640625,,,
42,42,9633.8984375,,,
43,43,9616.564453125,,,
44,44,9599.193359375,,,
45,45,9581.7978515625,,,
46,46,9564.3876953125,,,
47,47,9546.9765625,,,
48,48,9529.580078125,,,
49,49,9512.2060546875,,,
50,50,9494.8701171875,,,
51,51,9477.5859375,,,
52,52,9460.3603515625,,,
53,53,9443.2080078125,,,
54,54,9426.13671875,,,
55,55,9409.162109375,,,
56,56,9392.291015625,,,
57,57,9375.5341796875,,,
58,58,9358.900390625,,,
59,59,9342.3994140625,,,
60,60,9326.0390625,,,
61,61,9309.8271484375,,,
62,62,9293.7734375,,,
63,63,9277.8798828125,,,
64,64,9262.1552734375,,,
65,65,9246.60546875,,,
66,66,9231.2353515625,,,
67,67,9216.0478515625,,,
68,68,9201.0478515625,,,
69,69,9186.2392578125,,,
70,70,9171.6240234375,,,
71,71,9157.203125,,,
72,72,9142.978515625,,,
73,73,9128.953125,,,
74,74,9115.125,,,
75,75,9101.49609375,,,
76,76,9088.0625,,,
77,77,9074.8271484375,,,
78,78,9061.7861328125,,,
79,79,9048.9404296875,,,
80,80,9036.28515625,,,
81,81,9023.818359375,,,
82,82,9011.537109375,,,
83,83,8999.4404296875,,,
84,84,8987.5234375,,,
85,85,8975.7861328125,,,
86,86,8964.21875,,,
87,87,8952.822265625,,,
88,88,8941.5908203125,,,
89,89,8930.525390625,,,
90,90,8919.6142578125,,,
91,91,8908.8603515625,,,
92,92,8898.2548828125,,,
93,93,8887.798828125,,,
94,94,8877.4853515625,,,
95,95,8867.3115234375,,,
96,96,8857.2744140625,,,
97,97,8847.369140625,,,
98,98,8837.58984375,,,
99,99,,0.92783522605896,5256.1376953125,5256.1376953125
99,99,8827.939453125,,,
100,100,8818.4091796875,,,
101,101,8808.9990234375,,,
102,102,8799.703125,,,
103,103,8790.5205078125,,,
104,104,8781.4482421875,,,
105,105,8772.4814453125,,,
106,106,8763.62109375,,,
107,107,8754.861328125,,,
108,108,8746.2001953125,,,
109,109,8737.6376953125,,,
110,110,8729.1708984375,,,
111,111,8720.7939453125,,,
112,112,8712.509765625,,,
113,113,8704.3134765625,,,
114,114,8696.203125,,,
115,115,8688.1796875,,,
116,116,8680.2392578125,,,
117,117,8672.380859375,,,
118,118,8664.6015625,,,
119,119,8656.9033203125,,,
120,120,8649.2802734375,,,
121,121,8641.734375,,,
122,122,8634.2626953125,,,
123,123,8626.8642578125,,,
124,124,8619.5380859375,,,
125,125,8612.2822265625,,,
126,126,8605.0966796875,,,
127,127,8597.9775390625,,,
128,128,8590.9267578125,,,
129,129,8583.9423828125,,,
130,130,8577.0224609375,,,
131,131,8570.1650390625,,,
132,132,8563.37109375,,,
133,133,8556.638671875,,,
134,134,8549.96484375,,,
135,135,8543.353515625,,,
136,136,8536.7978515625,,,
137,137,8530.2998046875,,,
138,138,8523.8583984375,,,
139,139,8517.470703125,,,
140,140,8511.13671875,,,
141,141,8504.857421875,,,
142,142,8498.6279296875,,,
143,143,8492.451171875,,,
144,144,8486.3232421875,,,
145,145,8480.24609375,,,
146,146,8474.21484375,,,
147,147,8468.232421875,,,
148,148,8462.294921875,,,
149,149,8456.4013671875,,,
150,150,8450.552734375,,,
151,151,8444.7490234375,,,
152,152,8438.986328125,,,
153,153,8433.265625,,,
154,154,8427.5849609375,,,
155,155,8421.943359375,,,
156,156,8416.3427734375,,,
157,157,8410.7802734375,,,
158,158,8405.2548828125,,,
159,159,8399.763671875,,,
160,160,8394.310546875,,,
161,161,8388.892578125,,,
162,162,8383.5068359375,,,
163,163,8378.1572265625,,,
164,164,8372.8408203125,,,
165,165,8367.5546875,,,
166,166,8362.3017578125,,,
167,167,8357.078125,,,
168,168,8351.8857421875,,,
169,169,8346.724609375,,,
170,170,8341.5888671875,,,
171,171,8336.4833984375,,,
172,172,8331.4072265625,,,
173,173,8326.3564453125,,,
174,174,8321.3330078125,,,
175,175,8316.3359375,,,
176,176,8311.3642578125,,,
177,177,8306.419921875,,,
178,178,8301.4970703125,,,
179,179,8296.599609375,,,
180,180,8291.7255859375,,,
181,181,8286.8759765625,,,
182,182,8282.0478515625,,,
183,183,8277.2431640625,,,
184,184,8272.4599609375,,,
185,185,8267.6982421875,,,
186,186,8262.95703125,,,
187,187,8258.2373046875,,,
188,188,8253.5390625,,,
189,189,8248.859375,,,
190,190,8244.19921875,,,
191,191,8239.55859375,,,
192,192,8234.9365234375,,,
193,193,8230.3330078125,,,
194,194,8225.7490234375,,,
195,195,8221.18359375,,,
196,196,8216.6337890625,,,
197,197,8212.1025390625,,,
198,198,8207.5869140625,,,
199,199,,0.8826920986175537,4757.11328125,4757.11328125
199,199,8203.0888671875,,,
200,200,8198.607421875,,,
201,201,8194.142578125,,,
202,202,8189.69189453125,,,
203,203,8185.2587890625,,,
204,204,8180.84033203125,,,
205,205,8176.43701171875,,,
206,206,8172.04833984375,,,
207,207,8167.67431640625,,,
208,208,8163.3154296875,,,
209,209,8158.9697265625,,,
210,210,8154.63916015625,,,
211,211,8150.32177734375,,,
212,212,8146.01806640625,,,
213,213,8141.7275390625,,,
214,214,8137.45166015625,,,
215,215,8133.18701171875,,,
216,216,8128.93505859375,,,
217,217,8124.697265625,,,
218,218,8120.47021484375,,,
219,219,8116.2568359375,,,
220,220,8112.0546875,,,
221,221,8107.86328125,,,
222,222,8103.68505859375,,,
223,223,8099.51904296875,,,
224,224,8095.36328125,,,
225,225,8091.21875,,,
226,226,8087.08544921875,,,
227,227,8082.96337890625,,,
228,228,8078.8525390625,,,
229,229,8074.751953125,,,
230,230,8070.662109375,,,
231,231,8066.58154296875,,,
232,232,8062.51171875,,,
233,233,8058.453125,,,
234,234,8054.404296875,,,
235,235,8050.3642578125,,,
236,236,8046.3359375,,,
237,237,8042.3154296875,,,
238,238,8038.3046875,,,
239,239,8034.302734375,,,
240,240,8030.3115234375,,,
241,241,8026.32958984375,,,
242,242,8022.35498046875,,,
243,243,8018.39111328125,,,
244,244,8014.435546875,,,
245,245,8010.48779296875,,,
246,246,8006.54931640625,,,
247,247,8002.62109375,,,
248,248,7998.7001953125,,,
249,249,7994.7861328125,,,
250,250,7990.8818359375,,,
251,251,7986.986328125,,,
252,252,7983.09765625,,,
253,253,7979.21728515625,,,
254,254,7975.34521484375,,,
255,255,7971.4814453125,,,
256,256,7967.6240234375,,,
257,257,7963.77587890625,,,
258,258,7959.9345703125,,,
259,259,7956.1005859375,,,
260,260,7952.27490234375,,,
261,261,7948.4560546875,,,
262,262,7944.64501953125,,,
263,263,7940.8408203125,,,
264,264,7937.04443359375,,,
265,265,7933.25341796875,,,
266,266,7929.470703125,,,
267,267,7925.6943359375,,,
268,268,7921.92578125,,,
269,269,7918.1630859375,,,
270,270,7914.40869140625,,,
271,271,7910.66015625,,,
272,272,7906.91845703125,,,
273,273,7903.18212890625,,,
274,274,7899.45361328125,,,
275,275,7895.7314453125,,,
276,276,7892.0146484375,,,
277,277,7888.30517578125,,,
278,278,7884.60205078125,,,
279,279,7880.90478515625,,,
280,280,7877.2138671875,,,
281,281,7873.52978515625,,,
282,282,7869.8515625,,,
283,283,7866.17822265625,,,
284,284,7862.51220703125,,,
285,285,7858.85205078125,,,
286,286,7855.19677734375,,,
287,287,7851.5478515625,,,
288,288,7847.90478515625,,,
289,289,7844.267578125,,,
290,290,7840.6357421875,,,
291,291,7837.009765625,,,
292,292,7833.38916015625,,,
293,293,7829.775390625,,,
294,294,7826.16552734375,,,
295,295,7822.56201171875,,,
296,296,7818.96337890625,,,
297,297,7815.37060546875,,,
298,298,7811.78369140625,,,
299,299,,0.8564326167106628,4478.28173828125,4478.28173828125
299,299,7808.201171875,,,
300,300,7804.625,,,
301,301,7801.05322265625,,,
302,302,7797.48779296875,,,
303,303,7793.9248046875,,,
304,304,7790.36962890625,,,
305,305,7786.818359375,,,
306,306,7783.2724609375,,,
307,307,7779.732421875,,,
308,308,7776.1962890625,,,
309,309,7772.66455078125,,,
310,310,7769.1396484375,,,
