epoch,step,train/loss_epoch,train/loss_step,val/error_T,val/loss,val/loss_best
0,0,,10606.0234375,,,
0,0,10606.0234375,,,,
1,1,,10551.58203125,,,
1,1,10551.58203125,,,,
2,2,,10498.13671875,,,
2,2,10498.13671875,,,,
3,3,,10445.7802734375,,,
3,3,10445.7802734375,,,,
4,4,,10394.51171875,,,
4,4,10394.51171875,,,,
5,5,,10344.2626953125,,,
5,5,10344.2626953125,,,,
6,6,,10294.958984375,,,
6,6,10294.958984375,,,,
7,7,,10246.525390625,,,
7,7,10246.525390625,,,,
8,8,,10198.873046875,,,
8,8,10198.873046875,,,,
9,9,,10151.9189453125,,,
9,9,10151.9189453125,,,,
10,10,,10105.5693359375,,,
10,10,10105.5693359375,,,,
11,11,,10059.734375,,,
11,11,10059.734375,,,,
12,12,,10014.326171875,,,
12,12,10014.326171875,,,,
13,13,,9969.2568359375,,,
13,13,9969.2568359375,,,,
14,14,,9924.4423828125,,,
14,14,9924.4423828125,,,,
15,15,,9879.8037109375,,,
15,15,9879.8037109375,,,,
16,16,,9835.271484375,,,
16,16,9835.271484375,,,,
17,17,,9790.7880859375,,,
17,17,9790.7880859375,,,,
18,18,,9746.3037109375,,,
18,18,9746.3037109375,,,,
19,19,,9701.79296875,,,
19,19,9701.79296875,,,,
20,20,,9657.2490234375,,,
20,20,9657.2490234375,,,,
21,21,,9612.6826171875,,,
21,21,9612.6826171875,,,,
22,22,,9568.123046875,,,
22,22,9568.123046875,,,,
23,23,,9523.6181640625,,,
23,23,9523.6181640625,,,,
24,24,,9479.228515625,,,
24,24,9479.228515625,,,,
25,25,,9435.02734375,,,
25,25,9435.02734375,,,,
26,26,,9391.0908203125,,,
26,26,9391.0908203125,,,,
27,27,,9347.5068359375,,,
27,27,9347.5068359375,,,,
28,28,,9304.359375,,,
28,28,9304.359375,,,,
29,29,,9261.7333984375,,,
29,29,9261.7333984375,,,,
30,30,,9219.7099609375,,,
30,30,9219.7099609375,,,,
31,31,,9178.365234375,,,
31,31,9178.365234375,,,,
32,32,,9137.771484375,,,
32,32,9137.771484375,,,,
33,33,,9097.990234375,,,
33,33,9097.990234375,,,,
34,34,,9059.0771484375,,,
34,34,9059.0771484375,,,,
35,35,,9021.083984375,,,
35,35,9021.083984375,,,,
36,36,,8984.046875,,,
36,36,8984.046875,,,,
37,37,,8948.00390625,,,
37,37,8948.00390625,,,,
38,38,,8912.9814453125,,,
38,38,8912.9814453125,,,,
39,39,,8878.9990234375,,,
39,39,8878.9990234375,,,,
40,40,,8846.0712890625,,,
40,40,8846.0712890625,,,,
41,41,,8814.203125,,,
41,41,8814.203125,,,,
42,42,,8783.3974609375,,,
42,42,8783.3974609375,,,,
43,43,,8753.64453125,,,
43,43,8753.64453125,,,,
44,44,,8724.93359375,,,
44,44,8724.93359375,,,,
45,45,,8697.2470703125,,,
45,45,8697.2470703125,,,,
46,46,,8670.5625,,,
46,46,8670.5625,,,,
47,47,,8644.8525390625,,,
47,47,8644.8525390625,,,,
48,48,,8620.087890625,,,
48,48,8620.087890625,,,,
49,49,,8596.232421875,,,
49,49,8596.232421875,,,,
50,50,,8573.25,,,
50,50,8573.25,,,,
51,51,,8551.1025390625,,,
51,51,8551.1025390625,,,,
52,52,,8529.7529296875,,,
52,52,8529.7529296875,,,,
