epoch,step,test/error_T,test/loss,train/loss,val/error_T,val/loss,val/loss_best
0,0,,,0.0,,,
1,1,,,10283.86328125,,,
2,2,,,10262.572265625,,,
3,3,,,10241.279296875,,,
4,4,,,10219.95703125,,,
5,5,,,10198.58203125,,,
6,6,,,10177.1328125,,,
7,7,,,10155.591796875,,,
8,8,,,10133.9423828125,,,
9,9,,,10112.1806640625,,,
10,10,,,10090.2978515625,,,
11,11,,,10068.2978515625,,,
12,12,,,10046.1787109375,,,
13,13,,,10023.947265625,,,
14,14,,,10001.6103515625,,,
15,15,,,9979.1767578125,,,
16,16,,,9956.654296875,,,
17,17,,,9934.060546875,,,
18,18,,,9911.404296875,,,
19,19,,,9888.70703125,,,
20,20,,,9865.982421875,,,
21,21,,,9843.25,,,
22,22,,,9820.5322265625,,,
23,23,,,9797.8525390625,,,
24,24,,,9775.2314453125,,,
25,25,,,9752.6962890625,,,
26,26,,,9730.2724609375,,,
27,27,,,9707.9833984375,,,
28,28,,,9685.8564453125,,,
29,29,,,9663.9169921875,,,
30,30,,,9642.1904296875,,,
31,31,,,9620.6953125,,,
32,32,,,9599.45703125,,,
33,33,,,9578.4951171875,,,
34,34,,,9557.8271484375,,,
35,35,,,9537.4658203125,,,
36,36,,,9517.4267578125,,,
37,37,,,9497.720703125,,,
38,38,,,9478.3515625,,,
39,39,,,9459.330078125,,,
40,40,,,9440.65625,,,
41,41,,,9422.33203125,,,
42,42,,,9404.3544921875,,,
43,43,,,9386.7216796875,,,
44,44,,,9369.431640625,,,
45,45,,,9352.4775390625,,,
46,46,,,9335.853515625,,,
47,47,,,9319.5498046875,,,
48,48,,,9303.5625,,,
49,49,,,9287.8818359375,,,
50,50,,,9272.4990234375,,,
51,51,,,9257.40625,,,
52,52,,,9242.5927734375,,,
53,53,,,9228.0517578125,,,
54,54,,,9213.775390625,,,
55,55,,,9199.7529296875,,,
56,56,,,9185.978515625,,,
57,57,,,9172.4453125,,,
58,58,,,9159.1455078125,,,
59,59,,,9146.0712890625,,,
60,60,,,9133.2177734375,,,
61,61,,,9120.5751953125,,,
62,62,,,9108.14453125,,,
63,63,,,9095.9169921875,,,
64,64,,,9083.8896484375,,,
65,65,,,9072.0576171875,,,
66,66,,,9060.41796875,,,
67,67,,,9048.9677734375,,,
68,68,,,9037.705078125,,,
69,69,,,9026.6259765625,,,
70,70,,,9015.7294921875,,,
71,71,,,9005.0107421875,,,
72,72,,,8994.47265625,,,
73,73,,,8984.109375,,,
74,74,,,8973.9189453125,,,
75,75,,,8963.900390625,,,
76,76,,,8954.05078125,,,
77,77,,,8944.3671875,,,
78,78,,,8934.8466796875,,,
79,79,,,8925.484375,,,
80,80,,,8916.279296875,,,
81,81,,,8907.2255859375,,,
82,82,,,8898.3203125,,,
83,83,,,8889.560546875,,,
84,84,,,8880.9384765625,,,
85,85,,,8872.4521484375,,,
86,86,,,8864.0966796875,,,
87,87,,,8855.8662109375,,,
88,88,,,8847.7568359375,,,
89,89,,,8839.7666015625,,,
90,90,,,8831.88671875,,,
91,91,,,8824.1162109375,,,
92,92,,,8816.447265625,,,
93,93,,,8808.8779296875,,,
94,94,,,8801.40625,,,
95,95,,,8794.025390625,,,
96,96,,,8786.728515625,,,
97,97,,,8779.51953125,,,
98,98,,,8772.3896484375,,,
99,99,,,8765.3359375,,,
100,100,,,8758.3583984375,,,
101,101,,,8751.44921875,,,
102,102,,,8744.611328125,,,
103,103,,,8737.8369140625,,,
104,104,,,8731.125,,,
105,105,,,8724.4736328125,,,
106,106,,,8717.8779296875,,,
107,107,,,8711.33984375,,,
108,108,,,8704.8564453125,,,
109,109,,,8698.4228515625,,,
110,110,,,8692.0390625,,,
111,111,,,8685.705078125,,,
112,112,,,8679.4150390625,,,
113,113,,,8673.1689453125,,,
114,114,,,8666.966796875,,,
115,115,,,8660.8046875,,,
116,116,,,8654.6845703125,,,
117,117,,,8648.6015625,,,
118,118,,,8642.5576171875,,,
119,119,,,8636.546875,,,
120,120,,,8630.5732421875,,,
121,121,,,8624.6337890625,,,
122,122,,,8618.7265625,,,
123,123,,,8612.8505859375,,,
124,124,,,8607.0068359375,,,
125,125,,,8601.1923828125,,,
126,126,,,8595.40625,,,
127,127,,,8589.6494140625,,,
128,128,,,8583.9208984375,,,
129,129,,,8578.21875,,,
130,130,,,8572.54296875,,,
131,131,,,8566.8916015625,,,
132,132,,,8561.265625,,,
133,133,,,8555.6630859375,,,
134,134,,,8550.0859375,,,
135,135,,,8544.5302734375,,,
136,136,,,8538.99609375,,,
137,137,,,8533.4853515625,,,
138,138,,,8527.994140625,,,
139,139,,,8522.5263671875,,,
140,140,,,8517.0771484375,,,
141,141,,,8511.6484375,,,
142,142,,,8506.2392578125,,,
143,143,,,8500.8486328125,,,
144,144,,,8495.4755859375,,,
145,145,,,8490.123046875,,,
146,146,,,8484.7890625,,,
147,147,,,8479.4697265625,,,
148,148,,,8474.169921875,,,
149,149,,,8468.8857421875,,,
150,150,,,8463.619140625,,,
151,151,,,8458.3662109375,,,
152,152,,,8453.1318359375,,,
153,153,,,8447.9111328125,,,
154,154,,,8442.7080078125,,,
155,155,,,8437.5185546875,,,
156,156,,,8432.34375,,,
157,157,,,8427.18359375,,,
158,158,,,8422.0380859375,,,
159,159,,,8416.90625,,,
160,160,,,8411.7880859375,,,
161,161,,,8406.685546875,,,
162,162,,,8401.5947265625,,,
163,163,,,8396.515625,,,
164,164,,,8391.451171875,,,
165,165,,,8386.3984375,,,
166,166,,,8381.359375,,,
167,167,,,8376.3330078125,,,
168,168,,,8371.31640625,,,
169,169,,,8366.314453125,,,
170,170,,,8361.32421875,,,
171,171,,,8356.34375,,,
172,172,,,8351.3759765625,,,
173,173,,,8346.419921875,,,
174,174,,,8341.4736328125,,,
175,175,,,8336.5400390625,,,
176,176,,,8331.6162109375,,,
177,177,,,8326.703125,,,
178,178,,,8321.7998046875,,,
179,179,,,8316.9091796875,,,
180,180,,,8312.02734375,,,
181,181,,,8307.15625,,,
182,182,,,8302.2958984375,,,
183,183,,,8297.443359375,,,
184,184,,,8292.6025390625,,,
185,185,,,8287.771484375,,,
186,186,,,8282.947265625,,,
187,187,,,8278.134765625,,,
188,188,,,8273.3330078125,,,
189,189,,,8268.5380859375,,,
190,190,,,8263.75390625,,,
191,191,,,8258.9775390625,,,
192,192,,,8254.2109375,,,
193,193,,,8249.453125,,,
194,194,,,8244.7041015625,,,
195,195,,,8239.9638671875,,,
196,196,,,8235.2314453125,,,
197,197,,,8230.5087890625,,,
198,198,,,8225.7939453125,,,
199,199,,,8221.087890625,,,
200,200,,,8216.388671875,,,
201,201,,,8211.69921875,,,
202,202,,,8207.015625,,,
203,203,,,8202.341796875,,,
204,204,,,8197.6748046875,,,
205,205,,,8193.0166015625,,,
206,206,,,8188.36669921875,,,
207,207,,,8183.72412109375,,,
208,208,,,8179.08837890625,,,
209,209,,,8174.46142578125,,,
210,210,,,8169.8408203125,,,
211,211,,,8165.22900390625,,,
212,212,,,8160.623046875,,,
213,213,,,8156.02490234375,,,
214,214,,,8151.43408203125,,,
215,215,,,8146.85107421875,,,
216,216,,,8142.27392578125,,,
217,217,,,8137.7041015625,,,
218,218,,,8133.14208984375,,,
219,219,,,8128.5869140625,,,
220,220,,,8124.0380859375,,,
221,221,,,8119.49658203125,,,
222,222,,,8114.96142578125,,,
223,223,,,8110.43359375,,,
224,224,,,8105.91162109375,,,
225,225,,,8101.3974609375,,,
226,226,,,8096.88916015625,,,
227,227,,,8092.38623046875,,,
228,228,,,8087.8916015625,,,
229,229,,,8083.40283203125,,,
230,230,,,8078.919921875,,,
231,231,,,8074.44384765625,,,
232,232,,,8069.9736328125,,,
233,233,,,8065.51025390625,,,
234,234,,,8061.05322265625,,,
235,235,,,8056.60205078125,,,
236,236,,,8052.1572265625,,,
237,237,,,8047.71728515625,,,
238,238,,,8043.2841796875,,,
239,239,,,8038.857421875,,,
240,240,,,8034.43603515625,,,
241,241,,,8030.02197265625,,,
242,242,,,8025.611328125,,,
243,243,,,8021.20849609375,,,
244,244,,,8016.81103515625,,,
245,245,,,8012.41845703125,,,
246,246,,,8008.03271484375,,,
247,247,,,8003.65234375,,,
248,248,,,7999.27734375,,,
249,249,,,7994.908203125,,,
250,250,,,7990.544921875,,,
251,251,,,7986.18701171875,,,
252,252,,,7981.833984375,,,
253,253,,,7977.48779296875,,,
254,254,,,7973.1455078125,,,
255,255,,,7968.80908203125,,,
256,256,,,7964.478515625,,,
257,257,,,7960.15380859375,,,
258,258,,,7955.83349609375,,,
259,259,,,7951.5185546875,,,
260,260,,,7947.20947265625,,,
261,261,,,7942.9052734375,,,
262,262,,,7938.60595703125,,,
263,263,,,7934.3125,,,
264,264,,,7930.0244140625,,,
265,265,,,7925.73974609375,,,
266,266,,,7921.46240234375,,,
267,267,,,7917.189453125,,,
268,268,,,7912.92041015625,,,
269,269,,,7908.65771484375,,,
270,270,,,7904.3994140625,,,
271,271,,,7900.14599609375,,,
272,272,,,7895.8974609375,,,
273,273,,,7891.654296875,,,
274,274,,,7887.41552734375,,,
275,275,,,7883.1826171875,,,
276,276,,,7878.95361328125,,,
277,277,,,7874.73046875,,,
278,278,,,7870.51123046875,,,
279,279,,,7866.29638671875,,,
280,280,,,7862.08740234375,,,
281,281,,,7857.8828125,,,
282,282,,,7853.68310546875,,,
283,283,,,7849.48779296875,,,
284,284,,,7845.296875,,,
285,285,,,7841.11083984375,,,
286,286,,,7836.92919921875,,,
287,287,,,7832.7529296875,,,
288,288,,,7828.580078125,,,
289,289,,,7824.41357421875,,,
290,290,,,7820.2490234375,,,
291,291,,,7816.091796875,,,
292,292,,,7811.93701171875,,,
293,293,,,7807.7880859375,,,
294,294,,,7803.6435546875,,,
295,295,,,7799.5029296875,,,
296,296,,,7795.3662109375,,,
297,297,,,7791.23486328125,,,
298,298,,,7787.10791015625,,,
299,299,,,7782.9853515625,,,
300,300,,,7778.86669921875,,,
301,301,,,7774.751953125,,,
302,302,,,7770.642578125,,,
303,303,,,7766.537109375,,,
304,304,,,7762.4365234375,,,
305,305,,,7758.33935546875,,,
306,306,,,7754.24658203125,,,
307,307,,,7750.15869140625,,,
308,308,,,7746.07421875,,,
309,309,,,7741.994140625,,,
310,310,,,7737.9189453125,,,
311,311,,,7733.84716796875,,,
312,312,,,7729.7802734375,,,
313,313,,,7725.71630859375,,,
314,314,,,7721.6572265625,,,
