epoch,step,train/loss,val/error_T,val/loss,val/loss_best
0,0,0.0,,,
1,1,15515.123046875,,,
2,2,15462.388671875,,,
3,3,15409.76953125,,,
4,4,15357.326171875,,,
5,5,15305.1171875,,,
6,6,15253.2109375,,,
7,7,15201.6748046875,,,
8,8,15150.5703125,,,
9,9,15099.958984375,,,
10,10,15049.8955078125,,,
11,11,15000.4306640625,,,
12,12,14951.6162109375,,,
13,13,14903.4921875,,,
14,14,14856.1005859375,,,
15,15,14809.4814453125,,,
16,16,14763.67578125,,,
17,17,14718.71875,,,
18,18,14674.6572265625,,,
19,19,14631.5302734375,,,
20,20,14589.384765625,,,
21,21,14548.26171875,,,
22,22,14508.19921875,,,
23,23,14469.234375,,,
24,24,14431.3876953125,,,
25,25,14394.6708984375,,,
26,26,14359.0859375,,,
27,27,14324.625,,,
28,28,14291.267578125,,,
29,29,14258.9833984375,,,
30,30,14227.73828125,,,
31,31,14197.4921875,,,
32,32,14168.2021484375,,,
33,33,14139.822265625,,,
34,34,14112.3056640625,,,
35,35,14085.60546875,,,
36,36,14059.6767578125,,,
37,37,14034.474609375,,,
38,38,14009.9580078125,,,
39,39,13986.0859375,,,
40,40,13962.8203125,,,
41,41,13940.125,,,
42,42,13917.962890625,,,
43,43,13896.3037109375,,,
44,44,13875.11328125,,,
45,45,13854.369140625,,,
46,46,13834.0380859375,,,
47,47,13814.1015625,,,
48,48,13794.529296875,,,
49,49,13775.3046875,,,
50,50,13756.4052734375,,,
51,51,13737.81640625,,,
52,52,13719.5166015625,,,
53,53,13701.4921875,,,
54,54,13683.7275390625,,,
55,55,13666.2099609375,,,
56,56,13648.9267578125,,,
57,57,13631.8662109375,,,
58,58,13615.017578125,,,
59,59,13598.3701171875,,,
60,60,13581.9130859375,,,
61,61,13565.640625,,,
62,62,13549.54296875,,,
63,63,13533.611328125,,,
64,64,13517.841796875,,,
65,65,13502.2216796875,,,
66,66,13486.75,,,
67,67,13471.41796875,,,
68,68,13456.2216796875,,,
69,69,13441.1533203125,,,
70,70,13426.2109375,,,
71,71,13411.388671875,,,
72,72,13396.6796875,,,
73,73,13382.0830078125,,,
74,74,13367.5908203125,,,
75,75,13353.2021484375,,,
76,76,13338.9169921875,,,
77,77,13324.7236328125,,,
78,78,13310.623046875,,,
79,79,13296.6142578125,,,
80,80,13282.6904296875,,,
81,81,13268.84765625,,,
82,82,13255.08984375,,,
83,83,13241.41015625,,,
84,84,13227.8046875,,,
85,85,13214.2734375,,,
86,86,13200.814453125,,,
87,87,13187.423828125,,,
88,88,13174.099609375,,,
89,89,13160.841796875,,,
90,90,13147.6484375,,,
91,91,13134.5146484375,,,
92,92,13121.44140625,,,
93,93,13108.4267578125,,,
94,94,13095.4677734375,,,
95,95,13082.5654296875,,,
96,96,13069.7177734375,,,
97,97,13056.9208984375,,,
98,98,13044.1767578125,,,
99,99,13031.4814453125,,,
100,100,13018.8349609375,,,
101,101,13006.2373046875,,,
102,102,12993.6845703125,,,
103,103,12981.1787109375,,,
104,104,12968.7177734375,,,
105,105,12956.2978515625,,,
106,106,12943.9228515625,,,
107,107,12931.587890625,,,
108,108,12919.2939453125,,,
109,109,12907.0400390625,,,
110,110,12894.8251953125,,,
111,111,12882.6474609375,,,
112,112,12870.5087890625,,,
113,113,12858.4072265625,,,
