epoch,step,train/loss,val/error_T,val/loss,val/loss_best
0,0,0.0,,,
1,1,9886.6357421875,,,
2,2,9853.9365234375,,,
3,3,9821.8427734375,,,
4,4,9790.2890625,,,
5,5,9759.1923828125,,,
6,6,9728.4677734375,,,
7,7,9698.033203125,,,
8,8,9667.8154296875,,,
9,9,9637.7587890625,,,
10,10,9607.8271484375,,,
11,11,9578.0,,,
12,12,9548.287109375,,,
13,13,9518.705078125,,,
14,14,9489.2861328125,,,
15,15,9460.076171875,,,
16,16,9431.1181640625,,,
17,17,9402.4677734375,,,
18,18,9374.1689453125,,,
19,19,9346.2783203125,,,
20,20,9318.841796875,,,
21,21,9291.9072265625,,,
22,22,9265.5185546875,,,
23,23,9239.71484375,,,
24,24,9214.5263671875,,,
25,25,9189.984375,,,
26,26,9166.1064453125,,,
27,27,9142.90625,,,
28,28,9120.392578125,,,
29,29,9098.564453125,,,
30,30,9077.4140625,,,
31,31,9056.935546875,,,
32,32,9037.111328125,,,
33,33,9017.9228515625,,,
34,34,8999.3486328125,,,
35,35,8981.36328125,,,
36,36,8963.947265625,,,
37,37,8947.0693359375,,,
38,38,8930.705078125,,,
39,39,8914.8271484375,,,
40,40,8899.412109375,,,
41,41,8884.43359375,,,
42,42,8869.8671875,,,
43,43,8855.689453125,,,
44,44,8841.87890625,,,
45,45,8828.4130859375,,,
46,46,8815.2705078125,,,
47,47,8802.431640625,,,
48,48,8789.8779296875,,,
49,49,8777.5927734375,,,
50,50,8765.5595703125,,,
51,51,8753.7626953125,,,
52,52,8742.185546875,,,
53,53,8730.81640625,,,
54,54,8719.640625,,,
55,55,8708.646484375,,,
56,56,8697.8232421875,,,
57,57,8687.158203125,,,
58,58,8676.6435546875,,,
59,59,8666.267578125,,,
60,60,8656.021484375,,,
61,61,8645.900390625,,,
62,62,8635.892578125,,,
63,63,8625.994140625,,,
64,64,8616.197265625,,,
65,65,8606.4970703125,,,
66,66,8596.8876953125,,,
67,67,8587.3623046875,,,
68,68,8577.91796875,,,
69,69,8568.55078125,,,
70,70,8559.255859375,,,
71,71,8550.0283203125,,,
72,72,8540.8681640625,,,
73,73,8531.76953125,,,
74,74,8522.7314453125,,,
75,75,8513.7509765625,,,
76,76,8504.8271484375,,,
77,77,8495.9541015625,,,
78,78,8487.1318359375,,,
79,79,8478.361328125,,,
80,80,8469.6376953125,,,
81,81,8460.9599609375,,,
82,82,8452.326171875,,,
83,83,8443.7373046875,,,
84,84,8435.189453125,,,
85,85,8426.68359375,,,
86,86,8418.2177734375,,,
87,87,8409.791015625,,,
88,88,8401.4033203125,,,
89,89,8393.0517578125,,,
90,90,8384.7392578125,,,
91,91,8376.4609375,,,
92,92,8368.2177734375,,,
93,93,8360.009765625,,,
94,94,8351.8359375,,,
95,95,8343.6943359375,,,
96,96,8335.5869140625,,,
97,97,8327.5107421875,,,
98,98,8319.462890625,,,
99,99,8311.4501953125,,,
100,100,8303.466796875,,,
101,101,8295.51171875,,,
102,102,8287.587890625,,,
103,103,8279.69140625,,,
104,104,8271.8232421875,,,
105,105,8263.9833984375,,,
106,106,8256.171875,,,
107,107,8248.3857421875,,,
108,108,8240.6259765625,,,
109,109,8232.8935546875,,,
110,110,8225.185546875,,,
111,111,8217.5048828125,,,
112,112,8209.8466796875,,,
113,113,8202.2138671875,,,
114,114,8194.60546875,,,
115,115,8187.0205078125,,,
116,116,8179.45947265625,,,
117,117,8171.919921875,,,
118,118,8164.404296875,,,
119,119,8156.9111328125,,,
120,120,8149.43994140625,,,
121,121,8141.990234375,,,
122,122,8134.56201171875,,,
123,123,8127.1552734375,,,
124,124,8119.76904296875,,,
125,125,8112.40234375,,,
126,126,8105.056640625,,,
127,127,8097.73193359375,,,
128,128,8090.42529296875,,,
129,129,8083.13818359375,,,
130,130,8075.87109375,,,
