epoch,step,test/error_T,test/loss,train/loss,val/error_T,val/loss,val/loss_best
0,0,,,0.0,,,
1,1,,,10283.0986328125,,,
2,2,,,10261.7578125,,,
3,3,,,10240.41796875,,,
4,4,,,10219.056640625,,,
5,5,,,10197.6494140625,,,
6,6,,,10176.1728515625,,,
7,7,,,10154.609375,,,
8,8,,,10132.9443359375,,,
9,9,,,10111.171875,,,
10,10,,,10089.2841796875,,,
11,11,,,10067.283203125,,,
12,12,,,10045.1689453125,,,
13,13,,,10022.94921875,,,
14,14,,,10000.6259765625,,,
15,15,,,9978.2099609375,,,
16,16,,,9955.7109375,,,
17,17,,,9933.1396484375,,,
18,18,,,9910.5087890625,,,
19,19,,,9887.8369140625,,,
20,20,,,9865.1376953125,,,
21,21,,,9842.4306640625,,,
22,22,,,9819.736328125,,,
23,23,,,9797.076171875,,,
24,24,,,9774.474609375,,,
25,25,,,9751.955078125,,,
26,26,,,9729.5419921875,,,
27,27,,,9707.2607421875,,,
28,28,,,9685.1376953125,,,
29,29,,,9663.1962890625,,,
30,30,,,9641.4638671875,,,
31,31,,,9619.9580078125,,,
32,32,,,9598.70703125,,,
33,33,,,9577.7255859375,,,
34,34,,,9557.0341796875,,,
35,35,,,9536.646484375,,,
36,36,,,9516.5771484375,,,
37,37,,,9496.8349609375,,,
38,38,,,9477.4296875,,,
39,39,,,9458.3671875,,,
40,40,,,9439.6494140625,,,
41,41,,,9421.279296875,,,
42,42,,,9403.255859375,,,
43,43,,,9385.576171875,,,
44,44,,,9368.23828125,,,
45,45,,,9351.2353515625,,,
46,46,,,9334.5615234375,,,
47,47,,,9318.2109375,,,
48,48,,,9302.1767578125,,,
49,49,,,9286.451171875,,,
50,50,,,9271.0244140625,,,
51,51,,,9255.888671875,,,
52,52,,,9241.0361328125,,,
53,53,,,9226.4599609375,,,
54,54,,,9212.1494140625,,,
55,55,,,9198.099609375,,,
56,56,,,9184.298828125,,,
57,57,,,9170.7431640625,,,
58,58,,,9157.4248046875,,,
59,59,,,9144.3369140625,,,
60,60,,,9131.4736328125,,,
61,61,,,9118.830078125,,,
62,62,,,9106.3994140625,,,
63,63,,,9094.177734375,,,
64,64,,,9082.16015625,,,
65,65,,,9070.345703125,,,
66,66,,,9058.7255859375,,,
67,67,,,9047.3017578125,,,
68,68,,,9036.0673828125,,,
69,69,,,9025.0224609375,,,
70,70,,,9014.162109375,,,
71,71,,,9003.484375,,,
72,72,,,8992.990234375,,,
73,73,,,8982.6728515625,,,
74,74,,,8972.53125,,,
75,75,,,8962.5595703125,,,
76,76,,,8952.759765625,,,
77,77,,,8943.126953125,,,
78,78,,,8933.65625,,,
79,79,,,8924.34375,,,
80,80,,,8915.1875,,,
81,81,,,8906.181640625,,,
82,82,,,8897.3232421875,,,
83,83,,,8888.6064453125,,,
84,84,,,8880.02734375,,,
85,85,,,8871.5810546875,,,
86,86,,,8863.2646484375,,,
87,87,,,8855.0712890625,,,
88,88,,,8846.998046875,,,
89,89,,,8839.0390625,,,
90,90,,,8831.189453125,,,
91,91,,,8823.4482421875,,,
92,92,,,8815.806640625,,,
93,93,,,8808.2626953125,,,
94,94,,,8800.8134765625,,,
95,95,,,8793.453125,,,
96,96,,,8786.1796875,,,
97,97,,,8778.9873046875,,,
98,98,,,8771.8740234375,,,
99,99,,,8764.837890625,,,
100,100,,,8757.8740234375,,,
101,101,,,8750.9794921875,,,
102,102,,,8744.15234375,,,
103,103,,,8737.388671875,,,
104,104,,,8730.6875,,,
105,105,,,8724.0458984375,,,
106,106,,,8717.4609375,,,
107,107,,,8710.9296875,,,
108,108,,,8704.4541015625,,,
109,109,,,8698.02734375,,,
110,110,,,8691.650390625,,,
111,111,,,8685.3193359375,,,
112,112,,,8679.03515625,,,
113,113,,,8672.7939453125,,,
114,114,,,8666.595703125,,,
115,115,,,8660.4384765625,,,
116,116,,,8654.3212890625,,,
117,117,,,8648.2412109375,,,
118,118,,,8642.19921875,,,
119,119,,,8636.193359375,,,
120,120,,,8630.22265625,,,
121,121,,,8624.2841796875,,,
122,122,,,8618.376953125,,,
123,123,,,8612.5048828125,,,
124,124,,,8606.6611328125,,,
125,125,,,8600.84765625,,,
126,126,,,8595.064453125,,,
127,127,,,8589.30859375,,,
128,128,,,8583.580078125,,,
129,129,,,8577.8779296875,,,
130,130,,,8572.2021484375,,,
131,131,,,8566.5537109375,,,
132,132,,,8560.927734375,,,
133,133,,,8555.326171875,,,
134,134,,,8549.748046875,,,
135,135,,,8544.1923828125,,,
136,136,,,8538.6591796875,,,
137,137,,,8533.1474609375,,,
138,138,,,8527.658203125,,,
139,139,,,8522.189453125,,,
140,140,,,8516.7412109375,,,
141,141,,,8511.3115234375,,,
142,142,,,8505.90234375,,,
143,143,,,8500.5126953125,,,
144,144,,,8495.140625,,,
145,145,,,8489.7880859375,,,
146,146,,,8484.451171875,,,
147,147,,,8479.1337890625,,,
148,148,,,8473.8330078125,,,
149,149,,,8468.5498046875,,,
150,150,,,8463.2822265625,,,
151,151,,,8458.03125,,,
152,152,,,8452.7958984375,,,
153,153,,,8447.576171875,,,
