epoch,step,train/loss,val/error_T,val/loss,val/loss_best
0,0,0.0,,,
1,1,15736.0498046875,,,
2,2,15678.22265625,,,
3,3,15620.65234375,,,
4,4,15563.4091796875,,,
5,5,15506.5634765625,,,
6,6,15450.1923828125,,,
7,7,15394.373046875,,,
8,8,15339.1689453125,,,
9,9,15284.6494140625,,,
10,10,15230.869140625,,,
11,11,15177.8779296875,,,
12,12,15125.7197265625,,,
13,13,15074.4306640625,,,
14,14,15024.046875,,,
15,15,14974.591796875,,,
16,16,14926.091796875,,,
17,17,14878.576171875,,,
18,18,14832.0771484375,,,
19,19,14786.619140625,,,
20,20,14742.2373046875,,,
21,21,14698.9521484375,,,
22,22,14656.794921875,,,
23,23,14615.779296875,,,
24,24,14575.9208984375,,,
25,25,14537.2197265625,,,
26,26,14499.67578125,,,
27,27,14463.2724609375,,,
28,28,14427.9892578125,,,
29,29,14393.7978515625,,,
30,30,14360.666015625,,,
31,31,14328.5546875,,,
32,32,14297.419921875,,,
33,33,14267.2177734375,,,
34,34,14237.900390625,,,
35,35,14209.419921875,,,
36,36,14181.728515625,,,
37,37,14154.779296875,,,
38,38,14128.53125,,,
39,39,14102.9365234375,,,
40,40,14077.9560546875,,,
41,41,14053.548828125,,,
42,42,14029.6806640625,,,
43,43,14006.3173828125,,,
44,44,13983.427734375,,,
45,45,13960.9853515625,,,
46,46,13938.962890625,,,
47,47,13917.3349609375,,,
48,48,13896.0830078125,,,
49,49,13875.185546875,,,
50,50,13854.623046875,,,
51,51,13834.3828125,,,
52,52,13814.447265625,,,
53,53,13794.802734375,,,
54,54,13775.435546875,,,
55,55,13756.3359375,,,
56,56,13737.4892578125,,,
57,57,13718.8876953125,,,
58,58,13700.51953125,,,
59,59,13682.37890625,,,
60,60,13664.4521484375,,,
61,61,13646.736328125,,,
62,62,13629.21875,,,
63,63,13611.8955078125,,,
64,64,13594.7578125,,,
65,65,13577.8017578125,,,
66,66,13561.017578125,,,
67,67,13544.400390625,,,
68,68,13527.9443359375,,,
69,69,13511.6435546875,,,
70,70,13495.494140625,,,
71,71,13479.490234375,,,
72,72,13463.625,,,
73,73,13447.896484375,,,
74,74,13432.2998046875,,,
75,75,13416.828125,,,
76,76,13401.478515625,,,
77,77,13386.25,,,
78,78,13371.1337890625,,,
79,79,13356.12890625,,,
80,80,13341.2333984375,,,
81,81,13326.4384765625,,,
82,82,13311.748046875,,,
83,83,13297.15234375,,,
84,84,13282.650390625,,,
85,85,13268.2421875,,,
86,86,13253.9228515625,,,
87,87,13239.6875,,,
88,88,13225.5361328125,,,
89,89,13211.4658203125,,,
90,90,13197.4736328125,,,
91,91,13183.55859375,,,
92,92,13169.716796875,,,
93,93,13155.947265625,,,
94,94,13142.248046875,,,
95,95,13128.615234375,,,
96,96,13115.048828125,,,
97,97,13101.546875,,,
98,98,13088.1083984375,,,
99,99,13074.7294921875,,,
100,100,13061.41015625,,,
101,101,13048.1484375,,,
102,102,13034.943359375,,,
103,103,13021.79296875,,,
104,104,13008.697265625,,,
105,105,12995.65234375,,,
106,106,12982.658203125,,,
107,107,12969.71484375,,,
108,108,12956.818359375,,,
109,109,12943.96875,,,
110,110,12931.16796875,,,
111,111,12918.4111328125,,,
112,112,12905.6982421875,,,
113,113,12893.0302734375,,,
114,114,12880.4052734375,,,
115,115,12867.8212890625,,,
116,116,12855.2763671875,,,
117,117,12842.7734375,,,
118,118,12830.3095703125,,,
119,119,12817.8828125,,,
120,120,12805.4951171875,,,
121,121,12793.1435546875,,,
122,122,12780.8291015625,,,
123,123,12768.548828125,,,
124,124,12756.3046875,,,
125,125,12744.0947265625,,,
126,126,12731.9189453125,,,
127,127,12719.7763671875,,,
128,128,12707.6669921875,,,
129,129,12695.5888671875,,,
130,130,12683.5419921875,,,
131,131,12671.52734375,,,
132,132,12659.5439453125,,,
133,133,12647.5888671875,,,
134,134,12635.6650390625,,,
135,135,12623.7705078125,,,
136,136,12611.904296875,,,
137,137,12600.06640625,,,
138,138,12588.2568359375,,,
139,139,12576.4755859375,,,
140,140,12564.720703125,,,
141,141,12552.9931640625,,,
142,142,12541.2939453125,,,
143,143,12529.6181640625,,,
144,144,12517.9697265625,,,
145,145,12506.3466796875,,,
146,146,12494.7490234375,,,
147,147,12483.1767578125,,,
148,148,12471.6298828125,,,
149,149,12460.10546875,,,
150,150,12448.6064453125,,,
151,151,12437.1318359375,,,
152,152,12425.677734375,,,
153,153,12414.25,,,
154,154,12402.84375,,,
155,155,12391.462890625,,,
156,156,12380.1025390625,,,
157,157,12368.763671875,,,
158,158,12357.44921875,,,
159,159,12346.15625,,,
160,160,12334.884765625,,,
161,161,12323.634765625,,,
162,162,12312.404296875,,,
163,163,12301.197265625,,,
164,164,12290.009765625,,,
165,165,12278.84375,,,
166,166,12267.69921875,,,
167,167,12256.5732421875,,,
168,168,12245.46875,,,
169,169,12234.3828125,,,
170,170,12223.31640625,,,
171,171,12212.271484375,,,
172,172,12201.244140625,,,
173,173,12190.23828125,,,
174,174,12179.25,,,
175,175,12168.28125,,,
176,176,12157.330078125,,,
177,177,12146.400390625,,,
178,178,12135.486328125,,,
179,179,12124.59375,,,
180,180,12113.716796875,,,
181,181,12102.859375,,,
182,182,12092.01953125,,,
183,183,12081.197265625,,,
184,184,12070.392578125,,,
185,185,12059.60546875,,,
186,186,12048.8369140625,,,
187,187,12038.0859375,,,
188,188,12027.3515625,,,
189,189,12016.6337890625,,,
190,190,12005.9345703125,,,
191,191,11995.25,,,
192,192,11984.583984375,,,
193,193,11973.935546875,,,
194,194,11963.30078125,,,
195,195,11952.68359375,,,
196,196,11942.0849609375,,,
197,197,11931.501953125,,,
198,198,11920.93359375,,,
199,199,11910.3828125,,,
200,200,11899.8466796875,,,
201,201,11889.328125,,,
202,202,11878.82421875,,,
203,203,11868.3359375,,,
204,204,11857.8642578125,,,
205,205,11847.408203125,,,
206,206,11836.9658203125,,,
207,207,11826.5390625,,,
208,208,11816.12890625,,,
