epoch,step,train/loss,val/error_T,val/loss,val/loss_best
13592,13592,0.09837030619382858,,,
13593,13593,0.10124995559453964,,,
13594,13594,0.10232678055763245,,,
13595,13595,0.10038117319345474,,,
13596,13596,0.09737496078014374,,,
13597,13597,0.09477439522743225,,,
13598,13598,0.09406954795122147,,,
13599,13599,,0.7781940698623657,3697.43798828125,1679.711181640625
13599,13599,0.09513426572084427,,,
13600,13600,0.09674400836229324,,,
13601,13601,0.0977087989449501,,,
13602,13602,0.09717792272567749,,,
13603,13603,0.09581175446510315,,,
13604,13604,0.09441540390253067,,,
13605,13605,0.09386293590068817,,,
13606,13606,0.0942503958940506,,,
13607,13607,0.0950380489230156,,,
13608,13608,0.09556708484888077,,,
13609,13609,0.0954044759273529,,,
13610,13610,0.09477193653583527,,,
13611,13611,0.09406031668186188,,,
13612,13612,0.09370821714401245,,,
13613,13613,0.0938105434179306,,,
13614,13614,0.09416160732507706,,,
13615,13615,0.09444980323314667,,,
13616,13616,0.09444255381822586,,,
13617,13617,0.09418143332004547,,,
13618,13618,0.093820720911026,,,
13619,13619,0.09357309341430664,,,
13620,13620,0.09353242814540863,,,
13621,13621,0.09365264326334,,,
13622,13622,0.0938011035323143,,,
13623,13623,0.09385209530591965,,,
13624,13624,0.09377213567495346,,,
13625,13625,0.09360308200120926,,,
13626,13626,0.09344105422496796,,,
13627,13627,0.09335377812385559,,,
13628,13628,0.09335608780384064,,,
13629,13629,0.09340915083885193,,,
13630,13630,0.09345395863056183,,,
13631,13631,0.09345008432865143,,,
13632,13632,0.09338973462581635,,,
13633,13633,0.09330011159181595,,,
13634,13634,0.0932183489203453,,,
13635,13635,0.09316794574260712,,,
13636,13636,0.09315446019172668,,,
13637,13637,0.0931628942489624,,,
13638,13638,0.09317042678594589,,,
13639,13639,0.09316013753414154,,,
13640,13640,0.09312701970338821,,,
13641,13641,0.09307869523763657,,,
13642,13642,0.0930272787809372,,,
13643,13643,0.09298698604106903,,,
13644,13644,0.09296030551195145,,,
13645,13645,0.09294606745243073,,,
13646,13646,0.09293624758720398,,,
13647,13647,0.09292377531528473,,,
13648,13648,0.09290347993373871,,,
13649,13649,0.0928746834397316,,,
13650,13650,0.0928419902920723,,,
13651,13651,0.09280858933925629,,,
13652,13652,0.09277856349945068,,,
13653,13653,0.092753104865551,,,
13654,13654,0.09273278713226318,,,
13655,13655,0.09271413087844849,,,
13656,13656,0.092695452272892,,,
13657,13657,0.0926746279001236,,,
13658,13658,0.0926518514752388,,,
13659,13659,0.09262583404779434,,,
13660,13660,0.09259969741106033,,,
13661,13661,0.09257286041975021,,,
13662,13662,0.09254823625087738,,,
13663,13663,0.09252479672431946,,,
13664,13664,0.0925028845667839,,,
13665,13665,0.09248048067092896,,,
13666,13666,0.09245932847261429,,,
13667,13667,0.09243789315223694,,,
13668,13668,0.0924152135848999,,,
13669,13669,0.09239256381988525,,,
13670,13670,0.09236865490674973,,,
13671,13671,0.09234403818845749,,,
13672,13672,0.09231969714164734,,,
13673,13673,0.09229698777198792,,,
13674,13674,0.09227389097213745,,,
13675,13675,0.09225106239318848,,,
13676,13676,0.09222839027643204,,,
13677,13677,0.09220648556947708,,,
13678,13678,0.09218381345272064,,,
13679,13679,0.09216118603944778,,,
13680,13680,0.09213872253894806,,,
13681,13681,0.09211666882038116,,,
13682,13682,0.0920938104391098,,,
13683,13683,0.09207072108983994,,,
13684,13684,0.09204772859811783,,,
13685,13685,0.0920245572924614,,,
13686,13686,0.09200218319892883,,,
13687,13687,0.09197977930307388,,,
13688,13688,0.09195806086063385,,,
13689,13689,0.09193608909845352,,,
13690,13690,0.09191526472568512,,,
13691,13691,0.09189421683549881,,,
13692,13692,0.09187492728233337,,,
13693,13693,0.09185662120580673,,,
13694,13694,0.09184060245752335,,,
13695,13695,0.09182816743850708,,,
13696,13696,0.0918198972940445,,,
13697,13697,0.09181903302669525,,,
13698,13698,0.09182966500520706,,,
13699,13699,,0.7781279683113098,3696.809326171875,1679.711181640625
13699,13699,0.0918581411242485,,,
13700,13700,0.09191390872001648,,,
13701,13701,0.09201423823833466,,,
13702,13702,0.09218117594718933,,,
13703,13703,0.09246306866407394,,,
13704,13704,0.09290678054094315,,,
13705,13705,0.0936419889330864,,,
13706,13706,0.09475619345903397,,,
13707,13707,0.09657619148492813,,,
13708,13708,0.09913115948438644,,,
13709,13709,0.10309085994958878,,,
13710,13710,0.10769643634557724,,,
13711,13711,0.11363478749990463,,,
13712,13712,0.11738242208957672,,,
13713,13713,0.11883999407291412,,,
13714,13714,0.11378434300422668,,,
13715,13715,0.10516808182001114,,,
13716,13716,0.09618324041366577,,,
13717,13717,0.09176786243915558,,,
13718,13718,0.09310676902532578,,,
13719,13719,0.09767980128526688,,,
13720,13720,0.1014057993888855,,,
13721,13721,0.10128035396337509,,,
13722,13722,0.09776116162538528,,,
13723,13723,0.09350281208753586,,,
13724,13724,0.09167786687612534,,,
13725,13725,0.09283539652824402,,,
13726,13726,0.09517202526330948,,,
13727,13727,0.0962853729724884,,,
13728,13728,0.09516536444425583,,,
13729,13729,0.09290178120136261,,,
13730,13730,0.09133481234312057,,,
13731,13731,0.09148083627223969,,,
13732,13732,0.09273350238800049,,,
13733,13733,0.09370268136262894,,,
13734,13734,0.09349022060632706,,,
13735,13735,0.09232328832149506,,,
13736,13736,0.091204434633255,,,
13737,13737,0.09092137962579727,,,
13738,13738,0.09144396334886551,,,
