epoch,step,train/loss_epoch,train/loss_step,val/error_T,val/loss,val/loss_best
5203,5203,,4127.07177734375,,,
5203,5203,4127.07177734375,,,,
5204,5204,,4126.66748046875,,,
5204,5204,4126.66748046875,,,,
5205,5205,,4126.2626953125,,,
5205,5205,4126.2626953125,,,,
5206,5206,,4125.85888671875,,,
5206,5206,4125.85888671875,,,,
