epoch,step,train/loss_epoch,train/loss_step,val/error_T,val/loss,val/loss_best
45,45,,9185.955078125,,,
45,45,9185.955078125,,,,
46,46,,9154.888671875,,,
46,46,9154.888671875,,,,
47,47,,9123.64453125,,,
47,47,9123.64453125,,,,
48,48,,9092.3857421875,,,
48,48,9092.3857421875,,,,
49,49,,9061.107421875,,,
49,49,9061.107421875,,,,
50,50,,9029.6904296875,,,
50,50,9029.6904296875,,,,
51,51,,8998.3564453125,,,
51,51,8998.3564453125,,,,
52,52,,8966.970703125,,,
52,52,8966.970703125,,,,
53,53,,8935.6123046875,,,
53,53,8935.6123046875,,,,
54,54,,8904.193359375,,,
54,54,8904.193359375,,,,
55,55,,8872.9384765625,,,
55,55,8872.9384765625,,,,
56,56,,8841.8310546875,,,
56,56,8841.8310546875,,,,
57,57,,8810.6162109375,,,
57,57,8810.6162109375,,,,
58,58,,8779.5498046875,,,
58,58,8779.5498046875,,,,
59,59,,8748.6025390625,,,
59,59,8748.6025390625,,,,
60,60,,8717.7822265625,,,
60,60,8717.7822265625,,,,
61,61,,8687.1123046875,,,
61,61,8687.1123046875,,,,
62,62,,8656.646484375,,,
62,62,8656.646484375,,,,
63,63,,8626.275390625,,,
63,63,8626.275390625,,,,
64,64,,8596.1474609375,,,
64,64,8596.1474609375,,,,
65,65,,8566.28125,,,
65,65,8566.28125,,,,
66,66,,8536.6376953125,,,
66,66,8536.6376953125,,,,
67,67,,8507.2158203125,,,
67,67,8507.2158203125,,,,
68,68,,8478.060546875,,,
68,68,8478.060546875,,,,
69,69,,8449.1689453125,,,
69,69,8449.1689453125,,,,
70,70,,8420.529296875,,,
70,70,8420.529296875,,,,
71,71,,8392.162109375,,,
71,71,8392.162109375,,,,
72,72,,8364.1484375,,,
72,72,8364.1484375,,,,
73,73,,8336.48828125,,,
73,73,8336.48828125,,,,
74,74,,8309.10546875,,,
74,74,8309.10546875,,,,
75,75,,8282.0751953125,,,
75,75,8282.0751953125,,,,
76,76,,8255.4052734375,,,
76,76,8255.4052734375,,,,
77,77,,8229.16015625,,,
77,77,8229.16015625,,,,
78,78,,8203.1416015625,,,
78,78,8203.1416015625,,,,
79,79,,8177.56494140625,,,
79,79,8177.56494140625,,,,
80,80,,8152.35498046875,,,
80,80,8152.35498046875,,,,
81,81,,8127.5244140625,,,
81,81,8127.5244140625,,,,
82,82,,8103.03857421875,,,
82,82,8103.03857421875,,,,
83,83,,8079.00146484375,,,
83,83,8079.00146484375,,,,
84,84,,8055.35009765625,,,
84,84,8055.35009765625,,,,
85,85,,8032.03759765625,,,
85,85,8032.03759765625,,,,
86,86,,8009.14501953125,,,
86,86,8009.14501953125,,,,
87,87,,7986.71826171875,,,
87,87,7986.71826171875,,,,
88,88,,7964.57568359375,,,
88,88,7964.57568359375,,,,
89,89,,7942.86474609375,,,
89,89,7942.86474609375,,,,
90,90,,7921.59326171875,,,
90,90,7921.59326171875,,,,
91,91,,7900.6162109375,,,
91,91,7900.6162109375,,,,
92,92,,7880.1591796875,,,
92,92,7880.1591796875,,,,
93,93,,7859.99755859375,,,
93,93,7859.99755859375,,,,
94,94,,7840.26513671875,,,
94,94,7840.26513671875,,,,
95,95,,7820.9189453125,,,
95,95,7820.9189453125,,,,
96,96,,7801.87060546875,,,
96,96,7801.87060546875,,,,
97,97,,7783.25048828125,,,
97,97,7783.25048828125,,,,
98,98,,7765.0146484375,,,
98,98,7765.0146484375,,,,
99,99,,7747.13916015625,,,
99,99,7747.13916015625,,,,
100,100,,7729.640625,,,
100,100,7729.640625,,,,
101,101,,7712.45849609375,,,
101,101,7712.45849609375,,,,
102,102,,7695.58984375,,,
102,102,7695.58984375,,,,
103,103,,7679.099609375,,,
103,103,7679.099609375,,,,
104,104,,7662.89794921875,,,
104,104,7662.89794921875,,,,
105,105,,7647.04931640625,,,
105,105,7647.04931640625,,,,
106,106,,7631.5712890625,,,
106,106,7631.5712890625,,,,
107,107,,7616.3828125,,,
107,107,7616.3828125,,,,
108,108,,7601.5068359375,,,
108,108,7601.5068359375,,,,
109,109,,7586.9013671875,,,
109,109,7586.9013671875,,,,
110,110,,7572.65673828125,,,
110,110,7572.65673828125,,,,
111,111,,7558.66015625,,,
111,111,7558.66015625,,,,
112,112,,7544.92919921875,,,
112,112,7544.92919921875,,,,
113,113,,7531.5029296875,,,
113,113,7531.5029296875,,,,
114,114,,7518.3564453125,,,
114,114,7518.3564453125,,,,
115,115,,7505.49072265625,,,
115,115,7505.49072265625,,,,
116,116,,7492.79296875,,,
116,116,7492.79296875,,,,
117,117,,7480.43896484375,,,
117,117,7480.43896484375,,,,
118,118,,7468.2783203125,,,
118,118,7468.2783203125,,,,
119,119,,7456.36279296875,,,
119,119,7456.36279296875,,,,
120,120,,7444.70947265625,,,
120,120,7444.70947265625,,,,
121,121,,7433.24462890625,,,
121,121,7433.24462890625,,,,
122,122,,7422.0712890625,,,
122,122,7422.0712890625,,,,
123,123,,7411.03125,,,
123,123,7411.03125,,,,
124,124,,7400.265625,,,
124,124,7400.265625,,,,
125,125,,7389.666015625,,,
125,125,7389.666015625,,,,
126,126,,7379.28173828125,,,
126,126,7379.28173828125,,,,
127,127,,7369.08740234375,,,
127,127,7369.08740234375,,,,
128,128,,7359.09033203125,,,
128,128,7359.09033203125,,,,
129,129,,7349.29443359375,,,
129,129,7349.29443359375,,,,
130,130,,7339.62646484375,,,
130,130,7339.62646484375,,,,
131,131,,7330.1728515625,,,
131,131,7330.1728515625,,,,
132,132,,7320.89404296875,,,
132,132,7320.89404296875,,,,
133,133,,7311.775390625,,,
133,133,7311.775390625,,,,
134,134,,7302.7880859375,,,
134,134,7302.7880859375,,,,
135,135,,7293.98095703125,,,
135,135,7293.98095703125,,,,
136,136,,7285.3759765625,,,
136,136,7285.3759765625,,,,
137,137,,7276.86669921875,,,
137,137,7276.86669921875,,,,
138,138,,7268.5126953125,,,
138,138,7268.5126953125,,,,
139,139,,7260.302734375,,,
139,139,7260.302734375,,,,
140,140,,7252.26611328125,,,
140,140,7252.26611328125,,,,
141,141,,7244.29931640625,,,
141,141,7244.29931640625,,,,
142,142,,7236.509765625,,,
142,142,7236.509765625,,,,
143,143,,7228.83544921875,,,
143,143,7228.83544921875,,,,
144,144,,7221.30419921875,,,
144,144,7221.30419921875,,,,
145,145,,7213.87158203125,,,
145,145,7213.87158203125,,,,
146,146,,7206.5654296875,,,
146,146,7206.5654296875,,,,
147,147,,7199.3994140625,,,
147,147,7199.3994140625,,,,
148,148,,7192.3193359375,,,
148,148,7192.3193359375,,,,
149,149,,7185.3388671875,,,
149,149,7185.3388671875,,,,
150,150,,7178.46435546875,,,
150,150,7178.46435546875,,,,
151,151,,7171.72021484375,,,
151,151,7171.72021484375,,,,
152,152,,7165.07275390625,,,
152,152,7165.07275390625,,,,
153,153,,7158.515625,,,
153,153,7158.515625,,,,
154,154,,7152.048828125,,,
154,154,7152.048828125,,,,
155,155,,7145.67529296875,,,
155,155,7145.67529296875,,,,
156,156,,7139.39306640625,,,
156,156,7139.39306640625,,,,
157,157,,7133.21240234375,,,
157,157,7133.21240234375,,,,
158,158,,7127.1181640625,,,
158,158,7127.1181640625,,,,
159,159,,7121.09716796875,,,
159,159,7121.09716796875,,,,
160,160,,7115.14013671875,,,
160,160,7115.14013671875,,,,
161,161,,7109.2783203125,,,
161,161,7109.2783203125,,,,
162,162,,7103.49462890625,,,
162,162,7103.49462890625,,,,
163,163,,7097.791015625,,,
163,163,7097.791015625,,,,
164,164,,7092.154296875,,,
164,164,7092.154296875,,,,
165,165,,7086.58349609375,,,
165,165,7086.58349609375,,,,
166,166,,7081.0791015625,,,
166,166,7081.0791015625,,,,
167,167,,7075.64892578125,,,
167,167,7075.64892578125,,,,
168,168,,7070.2734375,,,
168,168,7070.2734375,,,,
169,169,,7064.96240234375,,,
169,169,7064.96240234375,,,,
170,170,,7059.73291015625,,,
170,170,7059.73291015625,,,,
171,171,,7054.53369140625,,,
171,171,7054.53369140625,,,,
172,172,,7049.404296875,,,
172,172,7049.404296875,,,,
173,173,,7044.3359375,,,
173,173,7044.3359375,,,,
174,174,,7039.3154296875,,,
174,174,7039.3154296875,,,,
175,175,,7034.35693359375,,,
175,175,7034.35693359375,,,,
176,176,,7029.44482421875,,,
176,176,7029.44482421875,,,,
177,177,,7024.58837890625,,,
177,177,7024.58837890625,,,,
178,178,,7019.7734375,,,
178,178,7019.7734375,,,,
179,179,,7015.00732421875,,,
179,179,7015.00732421875,,,,
180,180,,7010.3076171875,,,
180,180,7010.3076171875,,,,
181,181,,7005.61474609375,,,
181,181,7005.61474609375,,,,
182,182,,7001.00537109375,,,
182,182,7001.00537109375,,,,
183,183,,6996.41015625,,,
183,183,6996.41015625,,,,
184,184,,6991.86376953125,,,
184,184,6991.86376953125,,,,
185,185,,6987.37109375,,,
185,185,6987.37109375,,,,
186,186,,6982.923828125,,,
186,186,6982.923828125,,,,
187,187,,6978.49072265625,,,
187,187,6978.49072265625,,,,
188,188,,6974.125,,,
188,188,6974.125,,,,
189,189,,6969.76708984375,,,
189,189,6969.76708984375,,,,
190,190,,6965.4599609375,,,
190,190,6965.4599609375,,,,
191,191,,6961.18359375,,,
191,191,6961.18359375,,,,
192,192,,6956.955078125,,,
192,192,6956.955078125,,,,
193,193,,6952.74853515625,,,
193,193,6952.74853515625,,,,
194,194,,6948.583984375,,,
194,194,6948.583984375,,,,
195,195,,6944.43408203125,,,
195,195,6944.43408203125,,,,
196,196,,6940.34130859375,,,
196,196,6940.34130859375,,,,
197,197,,6936.2666015625,,,
197,197,6936.2666015625,,,,
198,198,,6932.220703125,,,
198,198,6932.220703125,,,,
199,199,,6928.2119140625,,,
199,199,6928.2119140625,,,,
200,200,,6924.22998046875,,,
200,200,6924.22998046875,,,,
201,201,,6920.26123046875,,,
201,201,6920.26123046875,,,,
202,202,,6916.33056640625,,,
202,202,6916.33056640625,,,,
203,203,,6912.43701171875,,,
203,203,6912.43701171875,,,,
204,204,,6908.55517578125,,,
204,204,6908.55517578125,,,,
205,205,,6904.71533203125,,,
205,205,6904.71533203125,,,,
206,206,,6900.88818359375,,,
206,206,6900.88818359375,,,,
207,207,,6897.09326171875,,,
207,207,6897.09326171875,,,,
208,208,,6893.31640625,,,
208,208,6893.31640625,,,,
209,209,,6889.5673828125,,,
209,209,6889.5673828125,,,,
210,210,,6885.84033203125,,,
210,210,6885.84033203125,,,,
211,211,,6882.13330078125,,,
211,211,6882.13330078125,,,,
212,212,,6878.46337890625,,,
212,212,6878.46337890625,,,,
213,213,,6874.7939453125,,,
213,213,6874.7939453125,,,,
214,214,,6871.16064453125,,,
214,214,6871.16064453125,,,,
215,215,,6867.552734375,,,
215,215,6867.552734375,,,,
216,216,,6863.9599609375,,,
216,216,6863.9599609375,,,,
217,217,,6860.384765625,,,
217,217,6860.384765625,,,,
218,218,,6856.82958984375,,,
218,218,6856.82958984375,,,,
219,219,,6853.298828125,,,
219,219,6853.298828125,,,,
220,220,,6849.77880859375,,,
220,220,6849.77880859375,,,,
221,221,,6846.2822265625,,,
221,221,6846.2822265625,,,,
222,222,,6842.814453125,,,
222,222,6842.814453125,,,,
223,223,,6839.35498046875,,,
223,223,6839.35498046875,,,,
224,224,,6835.91650390625,,,
224,224,6835.91650390625,,,,
225,225,,6832.49169921875,,,
225,225,6832.49169921875,,,,
226,226,,6829.08203125,,,
226,226,6829.08203125,,,,
227,227,,6825.7021484375,,,
227,227,6825.7021484375,,,,
228,228,,6822.3271484375,,,
228,228,6822.3271484375,,,,
229,229,,6818.97265625,,,
229,229,6818.97265625,,,,
230,230,,6815.62744140625,,,
230,230,6815.62744140625,,,,
231,231,,6812.31396484375,,,
231,231,6812.31396484375,,,,
232,232,,6809.00537109375,,,
232,232,6809.00537109375,,,,
233,233,,6805.70703125,,,
233,233,6805.70703125,,,,
234,234,,6802.43310546875,,,
234,234,6802.43310546875,,,,
235,235,,6799.17431640625,,,
235,235,6799.17431640625,,,,
236,236,,6795.9267578125,,,
236,236,6795.9267578125,,,,
237,237,,6792.69873046875,,,
237,237,6792.69873046875,,,,
238,238,,6789.47412109375,,,
238,238,6789.47412109375,,,,
239,239,,6786.267578125,,,
239,239,6786.267578125,,,,
240,240,,6783.078125,,,
240,240,6783.078125,,,,
241,241,,6779.90380859375,,,
241,241,6779.90380859375,,,,
242,242,,6776.73828125,,,
242,242,6776.73828125,,,,
243,243,,6773.58251953125,,,
243,243,6773.58251953125,,,,
244,244,,6770.44482421875,,,
244,244,6770.44482421875,,,,
245,245,,6767.3154296875,,,
245,245,6767.3154296875,,,,
246,246,,6764.201171875,,,
246,246,6764.201171875,,,,
247,247,,6761.1044921875,,,
247,247,6761.1044921875,,,,
248,248,,6758.0107421875,,,
248,248,6758.0107421875,,,,
249,249,,6754.935546875,,,
249,249,6754.935546875,,,,
250,250,,6751.87255859375,,,
250,250,6751.87255859375,,,,
251,251,,6748.8154296875,,,
251,251,6748.8154296875,,,,
252,252,,6745.76904296875,,,
252,252,6745.76904296875,,,,
253,253,,6742.7373046875,,,
253,253,6742.7373046875,,,,
254,254,,6739.71826171875,,,
254,254,6739.71826171875,,,,
255,255,,6736.701171875,,,
255,255,6736.701171875,,,,
256,256,,6733.70654296875,,,
256,256,6733.70654296875,,,,
257,257,,6730.716796875,,,
257,257,6730.716796875,,,,
258,258,,6727.73583984375,,,
258,258,6727.73583984375,,,,
259,259,,6724.765625,,,
259,259,6724.765625,,,,
260,260,,6721.8125,,,
260,260,6721.8125,,,,
261,261,,6718.8583984375,,,
261,261,6718.8583984375,,,,
262,262,,6715.92041015625,,,
262,262,6715.92041015625,,,,
263,263,,6712.9931640625,,,
263,263,6712.9931640625,,,,
264,264,,6710.0703125,,,
264,264,6710.0703125,,,,
265,265,,6707.16259765625,,,
265,265,6707.16259765625,,,,
266,266,,6704.263671875,,,
266,266,6704.263671875,,,,
267,267,,6701.37158203125,,,
267,267,6701.37158203125,,,,
268,268,,6698.48583984375,,,
268,268,6698.48583984375,,,,
269,269,,6695.6064453125,,,
269,269,6695.6064453125,,,,
270,270,,6692.7421875,,,
270,270,6692.7421875,,,,
271,271,,6689.88720703125,,,
271,271,6689.88720703125,,,,
272,272,,6687.03759765625,,,
272,272,6687.03759765625,,,,
273,273,,6684.19482421875,,,
273,273,6684.19482421875,,,,
274,274,,6681.36865234375,,,
274,274,6681.36865234375,,,,
275,275,,6678.5400390625,,,
275,275,6678.5400390625,,,,
276,276,,6675.72705078125,,,
276,276,6675.72705078125,,,,
277,277,,6672.9208984375,,,
277,277,6672.9208984375,,,,
278,278,,6670.11669921875,,,
278,278,6670.11669921875,,,,
279,279,,6667.32958984375,,,
279,279,6667.32958984375,,,,
280,280,,6664.54345703125,,,
280,280,6664.54345703125,,,,
281,281,,6661.76220703125,,,
281,281,6661.76220703125,,,,
282,282,,6658.99267578125,,,
282,282,6658.99267578125,,,,
283,283,,6656.2353515625,,,
283,283,6656.2353515625,,,,
284,284,,6653.4833984375,,,
284,284,6653.4833984375,,,,
285,285,,6650.73486328125,,,
285,285,6650.73486328125,,,,
286,286,,6647.99169921875,,,
286,286,6647.99169921875,,,,
287,287,,6645.2607421875,,,
287,287,6645.2607421875,,,,
288,288,,6642.53271484375,,,
288,288,6642.53271484375,,,,
289,289,,6639.81787109375,,,
289,289,6639.81787109375,,,,
290,290,,6637.10302734375,,,
290,290,6637.10302734375,,,,
291,291,,6634.39794921875,,,
291,291,6634.39794921875,,,,
292,292,,6631.703125,,,
292,292,6631.703125,,,,
293,293,,6629.01025390625,,,
293,293,6629.01025390625,,,,
294,294,,6626.32080078125,,,
294,294,6626.32080078125,,,,
295,295,,6623.64208984375,,,
295,295,6623.64208984375,,,,
296,296,,6620.9697265625,,,
296,296,6620.9697265625,,,,
297,297,,6618.30517578125,,,
297,297,6618.30517578125,,,,
298,298,,6615.63916015625,,,
298,298,6615.63916015625,,,,
299,299,,6612.9912109375,,,
299,299,6612.9912109375,,,,
300,300,,6610.341796875,,,
300,300,6610.341796875,,,,
301,301,,6607.69873046875,,,
301,301,6607.69873046875,,,,
302,302,,6605.060546875,,,
302,302,6605.060546875,,,,
303,303,,6602.4306640625,,,
303,303,6602.4306640625,,,,
304,304,,6599.806640625,,,
304,304,6599.806640625,,,,
305,305,,6597.18896484375,,,
305,305,6597.18896484375,,,,
306,306,,6594.57666015625,,,
306,306,6594.57666015625,,,,
307,307,,6591.966796875,,,
307,307,6591.966796875,,,,
308,308,,6589.36767578125,,,
308,308,6589.36767578125,,,,
309,309,,6586.76953125,,,
309,309,6586.76953125,,,,
310,310,,6584.18017578125,,,
310,310,6584.18017578125,,,,
311,311,,6581.5927734375,,,
311,311,6581.5927734375,,,,
312,312,,6579.01953125,,,
312,312,6579.01953125,,,,
313,313,,6576.4423828125,,,
313,313,6576.4423828125,,,,
314,314,,6573.875,,,
314,314,6573.875,,,,
315,315,,6571.3037109375,,,
315,315,6571.3037109375,,,,
316,316,,6568.74853515625,,,
316,316,6568.74853515625,,,,
317,317,,6566.19580078125,,,
317,317,6566.19580078125,,,,
318,318,,6563.642578125,,,
318,318,6563.642578125,,,,
319,319,,6561.10546875,,,
319,319,6561.10546875,,,,
320,320,,6558.564453125,,,
320,320,6558.564453125,,,,
321,321,,6556.03173828125,,,
321,321,6556.03173828125,,,,
322,322,,6553.49951171875,,,
322,322,6553.49951171875,,,,
323,323,,6550.9755859375,,,
323,323,6550.9755859375,,,,
324,324,,6548.45703125,,,
324,324,6548.45703125,,,,
325,325,,6545.94384765625,,,
325,325,6545.94384765625,,,,
326,326,,6543.435546875,,,
326,326,6543.435546875,,,,
327,327,,6540.9306640625,,,
327,327,6540.9306640625,,,,
328,328,,6538.4326171875,,,
328,328,6538.4326171875,,,,
329,329,,6535.93896484375,,,
329,329,6535.93896484375,,,,
330,330,,6533.44775390625,,,
330,330,6533.44775390625,,,,
331,331,,6530.9521484375,,,
331,331,6530.9521484375,,,,
332,332,,6528.470703125,,,
332,332,6528.470703125,,,,
333,333,,6525.99609375,,,
333,333,6525.99609375,,,,
334,334,,6523.5166015625,,,
334,334,6523.5166015625,,,,
335,335,,6521.05322265625,,,
335,335,6521.05322265625,,,,
336,336,,6518.58740234375,,,
336,336,6518.58740234375,,,,
337,337,,6516.12841796875,,,
337,337,6516.12841796875,,,,
338,338,,6513.67236328125,,,
338,338,6513.67236328125,,,,
339,339,,6511.21728515625,,,
339,339,6511.21728515625,,,,
340,340,,6508.771484375,,,
340,340,6508.771484375,,,,
341,341,,6506.3271484375,,,
341,341,6506.3271484375,,,,
342,342,,6503.8896484375,,,
342,342,6503.8896484375,,,,
343,343,,6501.4521484375,,,
343,343,6501.4521484375,,,,
344,344,,6499.0205078125,,,
344,344,6499.0205078125,,,,
345,345,,6496.58935546875,,,
345,345,6496.58935546875,,,,
346,346,,6494.16845703125,,,
346,346,6494.16845703125,,,,
347,347,,6491.75048828125,,,
347,347,6491.75048828125,,,,
348,348,,6489.3349609375,,,
348,348,6489.3349609375,,,,
349,349,,6486.92333984375,,,
349,349,6486.92333984375,,,,
350,350,,6484.51171875,,,
350,350,6484.51171875,,,,
351,351,,6482.10693359375,,,
351,351,6482.10693359375,,,,
352,352,,6479.71044921875,,,
352,352,6479.71044921875,,,,
353,353,,6477.30908203125,,,
353,353,6477.30908203125,,,,
354,354,,6474.91748046875,,,
354,354,6474.91748046875,,,,
355,355,,6472.5283203125,,,
355,355,6472.5283203125,,,,
356,356,,6470.14111328125,,,
356,356,6470.14111328125,,,,
357,357,,6467.7646484375,,,
357,357,6467.7646484375,,,,
358,358,,6465.38330078125,,,
358,358,6465.38330078125,,,,
359,359,,6463.009765625,,,
359,359,6463.009765625,,,,
360,360,,6460.63671875,,,
360,360,6460.63671875,,,,
361,361,,6458.27197265625,,,
361,361,6458.27197265625,,,,
362,362,,6455.9072265625,,,
362,362,6455.9072265625,,,,
363,363,,6453.54248046875,,,
363,363,6453.54248046875,,,,
364,364,,6451.18505859375,,,
364,364,6451.18505859375,,,,
365,365,,6448.8310546875,,,
365,365,6448.8310546875,,,,
366,366,,6446.4814453125,,,
366,366,6446.4814453125,,,,
367,367,,6444.13525390625,,,
367,367,6444.13525390625,,,,
368,368,,6441.79296875,,,
368,368,6441.79296875,,,,
369,369,,6439.4541015625,,,
369,369,6439.4541015625,,,,
370,370,,6437.11572265625,,,
370,370,6437.11572265625,,,,
371,371,,6434.77978515625,,,
371,371,6434.77978515625,,,,
372,372,,6432.4501953125,,,
372,372,6432.4501953125,,,,
373,373,,6430.12451171875,,,
373,373,6430.12451171875,,,,
374,374,,6427.80029296875,,,
374,374,6427.80029296875,,,,
375,375,,6425.4775390625,,,
375,375,6425.4775390625,,,,
376,376,,6423.15966796875,,,
376,376,6423.15966796875,,,,
377,377,,6420.84814453125,,,
377,377,6420.84814453125,,,,
378,378,,6418.53466796875,,,
378,378,6418.53466796875,,,,
379,379,,6416.2255859375,,,
379,379,6416.2255859375,,,,
380,380,,6413.921875,,,
380,380,6413.921875,,,,
381,381,,6411.619140625,,,
381,381,6411.619140625,,,,
382,382,,6409.32177734375,,,
382,382,6409.32177734375,,,,
383,383,,6407.02734375,,,
383,383,6407.02734375,,,,
384,384,,6404.73095703125,,,
384,384,6404.73095703125,,,,
385,385,,6402.44091796875,,,
385,385,6402.44091796875,,,,
386,386,,6400.15771484375,,,
386,386,6400.15771484375,,,,
387,387,,6397.873046875,,,
387,387,6397.873046875,,,,
388,388,,6395.59228515625,,,
388,388,6395.59228515625,,,,
389,389,,6393.31201171875,,,
389,389,6393.31201171875,,,,
390,390,,6391.0380859375,,,
390,390,6391.0380859375,,,,
391,391,,6388.767578125,,,
391,391,6388.767578125,,,,
392,392,,6386.50048828125,,,
392,392,6386.50048828125,,,,
393,393,,6384.23193359375,,,
393,393,6384.23193359375,,,,
394,394,,6381.9638671875,,,
394,394,6381.9638671875,,,,
395,395,,6379.7060546875,,,
395,395,6379.7060546875,,,,
396,396,,6377.44677734375,,,
396,396,6377.44677734375,,,,
397,397,,6375.19091796875,,,
397,397,6375.19091796875,,,,
398,398,,6372.93994140625,,,
398,398,6372.93994140625,,,,
399,399,,6370.6923828125,,,
399,399,6370.6923828125,,,,
400,400,,6368.44189453125,,,
400,400,6368.44189453125,,,,
401,401,,6366.20068359375,,,
401,401,6366.20068359375,,,,
402,402,,6363.95947265625,,,
402,402,6363.95947265625,,,,
403,403,,6361.720703125,,,
403,403,6361.720703125,,,,
404,404,,6359.4814453125,,,
404,404,6359.4814453125,,,,
405,405,,6357.248046875,,,
405,405,6357.248046875,,,,
406,406,,6355.01953125,,,
406,406,6355.01953125,,,,
407,407,,6352.7919921875,,,
407,407,6352.7919921875,,,,
408,408,,6350.56591796875,,,
408,408,6350.56591796875,,,,
409,409,,6348.34375,,,
409,409,6348.34375,,,,
410,410,,6346.125,,,
410,410,6346.125,,,,
411,411,,6343.9072265625,,,
411,411,6343.9072265625,,,,
412,412,,6341.68994140625,,,
412,412,6341.68994140625,,,,
413,413,,6339.4755859375,,,
413,413,6339.4755859375,,,,
414,414,,6337.2666015625,,,
414,414,6337.2666015625,,,,
415,415,,6335.05908203125,,,
415,415,6335.05908203125,,,,
416,416,,6332.85498046875,,,
416,416,6332.85498046875,,,,
417,417,,6330.65234375,,,
417,417,6330.65234375,,,,
418,418,,6328.45166015625,,,
418,418,6328.45166015625,,,,
419,419,,6326.25634765625,,,
419,419,6326.25634765625,,,,
420,420,,6324.06103515625,,,
420,420,6324.06103515625,,,,
421,421,,6321.86669921875,,,
421,421,6321.86669921875,,,,
422,422,,6319.67822265625,,,
422,422,6319.67822265625,,,,
423,423,,6317.48974609375,,,
423,423,6317.48974609375,,,,
424,424,,6315.3056640625,,,
424,424,6315.3056640625,,,,
425,425,,6313.11962890625,,,
425,425,6313.11962890625,,,,
426,426,,6310.93994140625,,,
426,426,6310.93994140625,,,,
427,427,,6308.76318359375,,,
427,427,6308.76318359375,,,,
428,428,,6306.58837890625,,,
428,428,6306.58837890625,,,,
429,429,,6304.41357421875,,,
429,429,6304.41357421875,,,,
430,430,,6302.24169921875,,,
430,430,6302.24169921875,,,,
431,431,,6300.072265625,,,
431,431,6300.072265625,,,,
432,432,,6297.90576171875,,,
432,432,6297.90576171875,,,,
433,433,,6295.7421875,,,
433,433,6295.7421875,,,,
434,434,,6293.580078125,,,
434,434,6293.580078125,,,,
435,435,,6291.42236328125,,,
435,435,6291.42236328125,,,,
436,436,,6289.26513671875,,,
436,436,6289.26513671875,,,,
437,437,,6287.111328125,,,
437,437,6287.111328125,,,,
438,438,,6284.95556640625,,,
438,438,6284.95556640625,,,,
439,439,,6282.8046875,,,
439,439,6282.8046875,,,,
440,440,,6280.6572265625,,,
440,440,6280.6572265625,,,,
441,441,,6278.51220703125,,,
441,441,6278.51220703125,,,,
442,442,,6276.3671875,,,
442,442,6276.3671875,,,,
443,443,,6274.2255859375,,,
