epoch,step,train/loss_epoch,train/loss_step,val/error_T,val/loss,val/loss_best
0,0,,10490.6943359375,,,
0,0,10490.6943359375,,,,
1,1,,10459.302734375,,,
1,1,10459.302734375,,,,
2,2,,10428.1162109375,,,
2,2,10428.1162109375,,,,
3,3,,10397.3974609375,,,
3,3,10397.3974609375,,,,
4,4,,10367.083984375,,,
4,4,10367.083984375,,,,
5,5,,10337.01171875,,,
5,5,10337.01171875,,,,
6,6,,10307.484375,,,
6,6,10307.484375,,,,
7,7,,10278.2646484375,,,
7,7,10278.2646484375,,,,
8,8,,10249.2119140625,,,
8,8,10249.2119140625,,,,
9,9,,10220.513671875,,,
9,9,10220.513671875,,,,
10,10,,10192.052734375,,,
10,10,10192.052734375,,,,
11,11,,10163.92578125,,,
11,11,10163.92578125,,,,
12,12,,10135.9482421875,,,
12,12,10135.9482421875,,,,
13,13,,10108.0244140625,,,
13,13,10108.0244140625,,,,
14,14,,10080.369140625,,,
14,14,10080.369140625,,,,
15,15,,10052.79296875,,,
15,15,10052.79296875,,,,
16,16,,10025.251953125,,,
16,16,10025.251953125,,,,
17,17,,9997.8291015625,,,
17,17,9997.8291015625,,,,
18,18,,9970.3662109375,,,
18,18,9970.3662109375,,,,
19,19,,9942.9912109375,,,
19,19,9942.9912109375,,,,
20,20,,9915.5869140625,,,
20,20,9915.5869140625,,,,
21,21,,9888.064453125,,,
21,21,9888.064453125,,,,
22,22,,9860.55078125,,,
22,22,9860.55078125,,,,
23,23,,9832.9150390625,,,
23,23,9832.9150390625,,,,
24,24,,9805.2861328125,,,
24,24,9805.2861328125,,,,
25,25,,9777.412109375,,,
25,25,9777.412109375,,,,
26,26,,9749.345703125,,,
26,26,9749.345703125,,,,
27,27,,9721.228515625,,,
27,27,9721.228515625,,,,
28,28,,9692.994140625,,,
28,28,9692.994140625,,,,
29,29,,9664.6181640625,,,
29,29,9664.6181640625,,,,
30,30,,9636.048828125,,,
30,30,9636.048828125,,,,
31,31,,9607.2373046875,,,
31,31,9607.2373046875,,,,
32,32,,9578.22265625,,,
32,32,9578.22265625,,,,
33,33,,9549.0126953125,,,
33,33,9549.0126953125,,,,
34,34,,9519.69140625,,,
34,34,9519.69140625,,,,
35,35,,9490.1787109375,,,
35,35,9490.1787109375,,,,
36,36,,9460.466796875,,,
36,36,9460.466796875,,,,
37,37,,9430.5458984375,,,
37,37,9430.5458984375,,,,
38,38,,9400.5302734375,,,
38,38,9400.5302734375,,,,
39,39,,9370.2529296875,,,
39,39,9370.2529296875,,,,
40,40,,9339.90625,,,
40,40,9339.90625,,,,
41,41,,9309.3505859375,,,
41,41,9309.3505859375,,,,
42,42,,9278.689453125,,,
42,42,9278.689453125,,,,
43,43,,9247.9775390625,,,
43,43,9247.9775390625,,,,
44,44,,9217.0048828125,,,
44,44,9217.0048828125,,,,
